iteration,x,y,loss,grad_norm,lambda_min,lambda_max
32,-0.0014008808496957233,-0.33166345287622817,-0.05499934175331349,0.32830984368184585,-1.0,1.0
33,-0.0016275713687842397,-0.3447657401553242,-0.05943038329814401,0.3358018324775857,-1.0,1.0
34,-0.003235472147588585,-0.35795387538477874,-0.06406025431148193,0.34247193407198306,-1.0,1.0
35,-0.004863314422247877,-0.37121877043253343,-0.06888986184713615,0.3656953312095025,-1.0,1.0
36,-0.004405053404538492,-0.38458017036353975,-0.0739412514706762,0.37759141766469045,-1.0,1.0
37,-0.0026937893656478525,-0.3980347825163393,-0.07921221579584152,0.39722784024966756,-1.0,1.0
38,0.00043654507746990505,-0.41159146615379116,-0.08470367221951138,0.41220722157431605,-1.0,1.0
39,0.004451470013267471,-0.42524922101593604,-0.0904085421946907,0.43152846762860786,-1.0,1.0
40,0.00984846422575646,-0.4390124933886978,-0.09631748855187772,0.4369700374992037,-1.0,1.0
41,0.013738122633202166,-0.4528632922753949,-0.10244821273851243,0.45251256977321974,-1.0,1.0
42,0.01501629424078088,-0.46680123887741015,-0.1088389537623796,0.46006484216259586,-1.0,1.0
43,0.01431727120302332,-0.48081380487129494,-0.11548846535005539,0.4842700764975138,-1.0,1.0
44,0.01285461639924608,-0.4949172082073606,-0.12238890090849809,0.48835757541210717,-1.0,1.0
45,0.010748381941803548,-0.5090917190948656,-0.12952942536829934,0.5019989054536961,-1.0,1.0
46,0.007339868537129106,-0.5233355069038917,-0.1369130895581055,0.5314382897609574,-1.0,1.0
47,0.002610076909199942,-0.537670981304593,-0.14454163581778603,0.5282596997948629,-1.0,1.0
48,-0.001378450437059614,-0.5520668176479174,-0.15238793551114574,0.5380082706367099,-1.0,1.0
49,-0.003458340329291968,-0.5665157640216313,-0.1604640753835897,0.5531935202408835,-1.0,1.0
50,-0.006967312232932547,-0.5810203316711143,-0.16876804118773026,0.5792299920218749,-1.0,1.0
51,-0.010862207806533374,-0.5955991131315886,-0.17731015800235128,0.6107245540022302,-1.0,1.0
52,-0.014251573454860932,-0.6102734166177267,-0.18611526784216706,0.5983564254220447,-1.0,1.0
53,-0.014582061707956073,-0.624995099579304,-0.1952031189872447,0.6267757300959399,-1.0,1.0
54,-0.01294263689301962,-0.6397857192508178,-0.20457912735377087,0.6289716752598253,-1.0,1.0
55,-0.010721724956022662,-0.654624758429439,-0.2142093094813844,0.6506506698804231,-1.0,1.0
56,-0.007486185791146133,-0.6695221057668479,-0.22410190356638734,0.6680916944214047,-1.0,1.0
57,-0.003247758280023284,-0.6844795421769865,-0.23425084786248576,0.7072790349075322,-1.0,1.0
58,0.0008553362250266197,-0.6995279058684353,-0.2446692797443103,0.7008958929767491,-1.0,1.0
59,0.0031181375402340294,-0.7146295831369532,-0.2553428591563879,0.7352477307231314,-1.0,1.0
60,0.003612495736976622,-0.7298081747191802,-0.2663034608807459,0.7293832879252714,-1.0,1.0
61,0.0038486977587132896,-0.74502976918143,-0.2775272722460485,0.7413916471670768,-1.0,1.0
62,0.0038753912974529977,-0.7602894278818895,-0.2890124977456312,0.7635525102339323,-1.0,1.0
