iteration,loss,grad_norm,optimizer,elapsed_seconds,test_acc
43,0.6180983781814575,9.999999046325684,Adam_start8,0.043,0.5
44,0.4881117343902588,7.203407287597656,Adam_start8,0.044,0.5
45,0.3987647891044616,2.1016619205474854,Adam_start8,0.045,0.5
46,0.4059630632400512,3.885011911392212,Adam_start8,0.046,0.5
47,0.478392094373703,8.2979736328125,Adam_start8,0.047,0.5
48,0.5272108912467957,9.999999046325684,Adam_start8,0.048,0.5
49,0.4999014735221863,9.689495086669922,Adam_start8,0.049,0.5
50,0.4201885759830475,6.550689220428467,Adam_start8,0.05,0.5
51,0.3594706952571869,2.178757429122925,Adam_start8,0.051,0.5
52,0.3590722978115082,2.7094788551330566,Adam_start8,0.052,0.5
53,0.3975462019443512,5.996189594268799,Adam_start8,0.053,0.5
54,0.4215962588787079,7.472842216491699,Adam_start8,0.054,0.5
55,0.4009219408035278,6.862366676330566,Adam_start8,0.055,0.5
56,0.3525630831718445,4.442102909088135,Adam_start8,0.056,0.5
57,0.3185617327690124,1.1472296714782717,Adam_start8,0.057,0.5
58,0.3225200772285461,3.0299606323242188,Adam_start8,0.058,0.5
59,0.3462858498096466,5.620508193969727,Adam_start8,0.059,0.5
60,0.3523813486099243,6.383869171142578,Adam_start8,0.06,0.5
61,0.3280543684959411,5.13441276550293,Adam_start8,0.061,0.5
62,0.2966678440570831,2.476995944976806,Adam_start8,0.062,0.5
63,0.2858645915985107,1.136886477470398,Adam_start8,0.063,0.5
64,0.2958953976631164,3.4889919757843018,Adam_start8,0.064,0.5
65,0.3038792908191681,4.6809797286987305,Adam_start8,0.065,0.5
66,0.2932837307453155,4.259843826293945,Adam_start8,0.066,0.5
67,0.2717331945896148,2.468136072158813,Adam_start8,0.067,0.5
68,0.2590188086032867,0.7593789100646973,Adam_start8,0.068,0.5
69,0.2621161341667175,2.717381715774536,Adam_start8,0.069,0.5
70,0.267672598361969,4.009328842163086,Adam_start8,0.07,0.5
71,0.2610835433006286,3.807699918746948,Adam_start8,0.071,0.5
72,0.2456923127174377,2.2927489280700684,Adam_start8,0.072,0.5
73,0.2359218150377273,0.6761295199394226,Adam_start8,0.073,0.5
74,0.2366548478603363,2.0857322216033936,Adam_start8,0.074,0.5
75,0.2383449971675872,3.036008596420288,Adam_start8,0.075,0.5
76,0.2319405674934387,2.751873016357422,Adam_start8,0.076,0.5
77,0.2209260761737823,1.4465068578720093,Adam_start8,0.077,0.5
78,0.2148620039224624,0.843762218952179,Adam_start8,0.078,0.5
79,0.2152652442455291,2.193803548812866,Adam_start8,0.079,0.5
80,0.2143169939517974,2.747990846633911,Adam_start8,0.08,0.5
81,0.2074093371629715,2.173303365707397,Adam_start8,0.081,0.5
82,0.1995411515235901,0.9001526236534119,Adam_start8,0.082,0.5
83,0.1964577585458755,1.0517475605010986,Adam_start8,0.083,0.5
84,0.1959461867809295,1.9408965110778809,Adam_start8,0.084,0.5
85,0.1924395412206649,1.9594943523406985,Adam_start8,0.085,0.5
86,0.1860120147466659,1.1414600610733032,Adam_start8,0.086,0.5
87,0.1814449876546859,0.6507152318954468,Adam_start8,0.087,0.5
88,0.1800471693277359,1.5478131771087646,Adam_start8,0.088,0.5
89,0.1779758185148239,1.8923101425170896,Adam_start8,0.089,0.5
90,0.1731697469949722,1.403527855873108,Adam_start8,0.09,0.5
91,0.1684889197349548,0.5743063688278198,Adam_start8,0.091,0.5
92,0.1662272363901138,0.981583058834076,Adam_start8,0.092,0.5
93,0.1643829494714737,1.4259281158447266,Adam_start8,0.093,0.5
94,0.1607173681259155,1.177983045578003,Adam_start8,0.094,0.5
