iteration,loss,grad_norm,optimizer,elapsed_seconds,test_acc
128,0.1841559708118438,0.5830782055854797,SAM_Adam_start1,0.128,0.5
129,0.1805579215288162,2.962895393371582,SAM_Adam_start1,0.129,0.5
130,0.1774842590093612,4.251499176025391,SAM_Adam_start1,0.13,0.5
131,0.1736431717872619,3.8467063903808594,SAM_Adam_start1,0.131,0.5
132,0.1701892018318176,2.314582347869873,SAM_Adam_start1,0.132,0.5
133,0.166834220290184,2.20109486579895,SAM_Adam_start1,0.133,0.5
134,0.1638300567865371,3.214682340621948,SAM_Adam_start1,0.134,0.5
135,0.1610082983970642,4.863489627838135,SAM_Adam_start1,0.135,0.5
136,0.1581164598464965,4.61907434463501,SAM_Adam_start1,0.136,0.5
137,0.154756560921669,3.7874152660369873,SAM_Adam_start1,0.137,0.5
138,0.1520678251981735,3.891263008117676,SAM_Adam_start1,0.138,0.5
139,0.1495735496282577,5.186371326446533,SAM_Adam_start1,0.139,0.5
140,0.1470578163862228,5.041110515594482,SAM_Adam_start1,0.14,0.5
141,0.1439745426177978,4.434901714324951,SAM_Adam_start1,0.141,0.5
142,0.1416923552751541,4.716509819030762,SAM_Adam_start1,0.142,0.5
143,0.1394976377487182,5.635794162750244,SAM_Adam_start1,0.143,0.5
144,0.1369916349649429,5.116602420806885,SAM_Adam_start1,0.144,0.5
145,0.1343557089567184,4.943170547485352,SAM_Adam_start1,0.145,0.5
146,0.132598727941513,5.488363265991211,SAM_Adam_start1,0.146,0.5
147,0.1302771568298339,5.765624523162842,SAM_Adam_start1,0.147,0.5
148,0.1279999613761901,5.230449676513672,SAM_Adam_start1,0.148,0.5
149,0.125894546508789,5.643276691436768,SAM_Adam_start1,0.149,0.5
150,0.124351367354393,5.893771648406982,SAM_Adam_start1,0.15,0.5
151,0.1218309551477432,5.653212070465088,SAM_Adam_start1,0.151,0.5
152,0.1201335117220878,5.6729416847229,SAM_Adam_start1,0.152,0.5
153,0.1183814853429794,6.194803714752197,SAM_Adam_start1,0.153,0.5
154,0.1165058463811874,5.866074085235596,SAM_Adam_start1,0.154,0.5
155,0.1144495084881782,5.917957305908203,SAM_Adam_start1,0.155,0.5
156,0.1132528483867645,6.203571796417236,SAM_Adam_start1,0.156,0.5
157,0.1111432388424873,6.18536901473999,SAM_Adam_start1,0.157,0.5
158,0.1096063181757927,6.043589115142822,SAM_Adam_start1,0.158,0.5
159,0.1080236360430717,6.432520866394043,SAM_Adam_start1,0.159,0.5
160,0.1065875962376594,6.294969081878662,SAM_Adam_start1,0.16,0.5
161,0.1046649515628814,6.278032779693604,SAM_Adam_start1,0.161,0.5
162,0.1036477237939834,6.4636311531066895,SAM_Adam_start1,0.162,0.5
163,0.1018466278910636,6.535177707672119,SAM_Adam_start1,0.163,0.5
164,0.1005327627062797,6.395066738128662,SAM_Adam_start1,0.164,0.5
165,0.0990579277276992,6.669450759887695,SAM_Adam_start1,0.165,0.5
166,0.0979207158088684,6.605956077575684,SAM_Adam_start1,0.166,0.5
167,0.0961678475141525,6.597939491271973,SAM_Adam_start1,0.167,0.5
168,0.0953108966350555,6.7195892333984375,SAM_Adam_start1,0.168,0.5
169,0.0936972647905349,6.799770832061768,SAM_Adam_start1,0.169,0.5
170,0.0926133394241333,6.697159290313721,SAM_Adam_start1,0.17,0.5
171,0.0912365987896919,6.90379810333252,SAM_Adam_start1,0.171,0.5
172,0.0903027355670929,6.859638690948486,SAM_Adam_start1,0.172,0.5
173,0.0887155681848526,6.872837543487549,SAM_Adam_start1,0.173,0.5
174,0.0880073010921478,6.9602251052856445,SAM_Adam_start1,0.174,0.5
175,0.0865144878625869,7.022481918334961,SAM_Adam_start1,0.175,0.5
176,0.0856428518891334,6.959733009338379,SAM_Adam_start1,0.176,0.5
177,0.0843512788414955,7.122500419616699,SAM_Adam_start1,0.177,0.5
178,0.0835703834891319,7.0806989669799805,SAM_Adam_start1,0.178,0.5
179,0.0821320265531539,7.114067077636719,SAM_Adam_start1,0.179,0.5
180,0.0815525203943252,7.179312229156494,SAM_Adam_start1,0.18,0.5
181,0.0801493301987648,7.220553874969482,SAM_Adam_start1,0.181,0.5
182,0.0794665440917015,7.192814826965332,SAM_Adam_start1,0.182,0.5
183,0.0782418996095657,7.320812702178955,SAM_Adam_start1,0.183,0.5
184,0.0775894597172737,7.280233383178711,SAM_Adam_start1,0.184,0.5
185,0.0762799531221389,7.329620838165283,SAM_Adam_start1,0.185,0.5
186,0.0758055970072746,7.376406669616699,SAM_Adam_start1,0.186,0.5
187,0.074480727314949,7.402627468109131,SAM_Adam_start1,0.187,0.5
188,0.0739611089229583,7.402344703674316,SAM_Adam_start1,0.188,0.5
189,0.0727855190634727,7.498991012573242,SAM_Adam_start1,0.189,0.5
190,0.0722511485219001,7.464399337768555,SAM_Adam_start1,0.19,0.5
191,0.0710483342409133,7.523762226104736,SAM_Adam_start1,0.191,0.5
192,0.070658192038536,7.553710460662842,SAM_Adam_start1,0.192,0.5
193,0.069409541785717,7.5732197761535645,SAM_Adam_start1,0.193,0.5
194,0.0690257027745246,7.591421127319336,SAM_Adam_start1,0.194,0.5
195,0.0678867176175117,7.659893989562988,SAM_Adam_start1,0.195,0.5
196,0.0674657225608825,7.636669635772705,SAM_Adam_start1,0.196,0.5
197,0.0663459822535514,7.698670864105225,SAM_Adam_start1,0.197,0.5
198,0.0660262554883956,7.714752674102783,SAM_Adam_start1,0.198,0.5
199,0.0648536458611488,7.734496116638184,SAM_Adam_start1,0.199,0.5
200,0.064577966928482,7.762002944946289,SAM_Adam_start1,0.2,0.5
201,0.0634706616401672,7.807219982147217,SAM_Adam_start1,0.201,0.5
202,0.063157707452774,7.798509120941162,SAM_Adam_start1,0.202,0.5
203,0.0620987266302108,7.856137752532959,SAM_Adam_start1,0.203,0.5
204,0.0618431866168975,7.863102912902832,SAM_Adam_start1,0.204,0.5
205,0.0607433468103408,7.886758327484131,SAM_Adam_start1,0.205,0.5
206,0.0605509541928768,7.916100978851318,SAM_Adam_start1,0.206,0.5
207,0.0594768598675727,7.944622993469238,SAM_Adam_start1,0.207,0.5
