iteration,loss,grad_norm,optimizer,elapsed_seconds,test_acc
172,5.828591823577881,10.0,SAM_SGD_start4,0.172,0.5
173,8.757699966430664,10.0,SAM_SGD_start4,0.173,0.5
174,5.828591823577881,10.0,SAM_SGD_start4,0.174,0.5
175,8.757699966430664,10.0,SAM_SGD_start4,0.175,0.5
176,5.828591823577881,10.0,SAM_SGD_start4,0.176,0.5
177,8.757699966430664,10.0,SAM_SGD_start4,0.177,0.5
178,5.828591823577881,10.0,SAM_SGD_start4,0.178,0.5
179,8.757699966430664,10.0,SAM_SGD_start4,0.179,0.5
180,5.828591823577881,10.0,SAM_SGD_start4,0.18,0.5
181,8.757699966430664,10.0,SAM_SGD_start4,0.181,0.5
182,5.828591823577881,10.0,SAM_SGD_start4,0.182,0.5
183,8.757699966430664,10.0,SAM_SGD_start4,0.183,0.5
184,5.828591823577881,10.0,SAM_SGD_start4,0.184,0.5
185,8.757699966430664,10.0,SAM_SGD_start4,0.185,0.5
186,5.828591823577881,10.0,SAM_SGD_start4,0.186,0.5
187,8.757699966430664,10.0,SAM_SGD_start4,0.187,0.5
188,5.828591823577881,10.0,SAM_SGD_start4,0.188,0.5
189,8.757699966430664,10.0,SAM_SGD_start4,0.189,0.5
190,5.828591823577881,10.0,SAM_SGD_start4,0.19,0.5
191,8.757699966430664,10.0,SAM_SGD_start4,0.191,0.5
192,5.828591823577881,10.0,SAM_SGD_start4,0.192,0.5
193,8.757699966430664,10.0,SAM_SGD_start4,0.193,0.5
194,5.828591823577881,10.0,SAM_SGD_start4,0.194,0.5
195,8.757699966430664,10.0,SAM_SGD_start4,0.195,0.5
196,5.828591823577881,10.0,SAM_SGD_start4,0.196,0.5
197,8.757699966430664,10.0,SAM_SGD_start4,0.197,0.5
198,5.828591823577881,10.0,SAM_SGD_start4,0.198,0.5
199,8.757699966430664,10.0,SAM_SGD_start4,0.199,0.5
200,5.828591823577881,10.0,SAM_SGD_start4,0.2,0.5
201,8.757699966430664,10.0,SAM_SGD_start4,0.201,0.5
202,5.828591823577881,10.0,SAM_SGD_start4,0.202,0.5
203,8.757699966430664,10.0,SAM_SGD_start4,0.203,0.5
204,5.828591823577881,10.0,SAM_SGD_start4,0.204,0.5
205,8.757699966430664,10.0,SAM_SGD_start4,0.205,0.5
206,5.828591823577881,10.0,SAM_SGD_start4,0.206,0.5
207,8.757699966430664,10.0,SAM_SGD_start4,0.207,0.5
208,5.828591823577881,10.0,SAM_SGD_start4,0.208,0.5
209,8.757699966430664,10.0,SAM_SGD_start4,0.209,0.5
