function,optimizer,seed,noise_std,noise_type,final_loss,final_x,final_y,iterations,converged
SaddlePoint,RMSProp,1819,0.1,multiplicative,0.0,0.4683772255801542,0.5316227747304475,1,True
SaddlePoint,RMSProp,2021,0.1,multiplicative,0.0,0.4683772250504971,0.5316227743902673,1,True
SaddlePoint,SAM,42,0.1,multiplicative,0.0,0.499417806573403,0.5003573649989362,1,True
SaddlePoint,SAM,123,0.1,multiplicative,0.0,0.4994448552099206,0.5005711088318631,1,True
SaddlePoint,SAM,456,0.1,multiplicative,0.0,0.4994241165482049,0.5004217497471463,1,True
SaddlePoint,SAM,789,0.1,multiplicative,0.0,0.4994329111519237,0.500373594852851,1,True
SaddlePoint,SAM,1011,0.1,multiplicative,0.0,0.49952433381756106,0.500446077176868,1,True
SaddlePoint,SAM,1213,0.1,multiplicative,0.0,0.49950094070433465,0.5003763859410324,1,True
SaddlePoint,SAM,1415,0.1,multiplicative,0.0,0.49932013850910284,0.50041366534543,1,True
SaddlePoint,SAM,1617,0.1,multiplicative,0.0,0.49944481558071857,0.5004036187155535,1,True
SaddlePoint,SAM,1819,0.1,multiplicative,0.0,0.49944316998501465,0.5003394444976169,1,True
SaddlePoint,SAM,2021,0.1,multiplicative,0.0,0.49948990492807127,0.500527819422105,1,True
IllConditioned_Easy,SGD,42,0.1,multiplicative,2.2957687963023362e-05,-3.7317452563452276e-07,0.006768875797215861,5000,False
IllConditioned_Easy,SGD,123,0.1,multiplicative,2.2504702666668994e-05,-5.007448232920345e-07,0.00670154473523606,5000,False
IllConditioned_Easy,SGD,456,0.1,multiplicative,2.1907374705770388e-05,2.4598412310723433e-07,0.006612820632481136,5000,False
IllConditioned_Easy,SGD,789,0.1,multiplicative,2.270873182900283e-05,-2.2017570685813356e-06,0.006732900650720849,5000,False
IllConditioned_Easy,SGD,1011,0.1,multiplicative,2.064565924303677e-05,-2.5665903827268358e-06,0.006419849207943969,5000,False
IllConditioned_Easy,SGD,1213,0.1,multiplicative,2.166618520223552e-05,8.489924213575038e-07,0.006575537439786792,5000,False
IllConditioned_Easy,SGD,1415,0.1,multiplicative,2.072081799199973e-05,1.3288687092227667e-06,0.006430509749819024,5000,False
IllConditioned_Easy,SGD,1617,0.1,multiplicative,2.4093567871234287e-05,-1.6218574583446104e-07,0.006934617212610772,5000,False
IllConditioned_Easy,SGD,1819,0.1,multiplicative,2.0669611997900384e-05,2.3792013677963027e-07,0.006423471791905411,5000,False
IllConditioned_Easy,SGD,2021,0.1,multiplicative,2.1572634471202762e-05,-3.5598150442896913e-07,0.0065630446256849315,5000,False
IllConditioned_Easy,SGD_Momentum,42,0.1,multiplicative,9.979088391748938e-09,-6.20926095152645e-08,0.00013966300651056267,817,True
IllConditioned_Easy,SGD_Momentum,123,0.1,multiplicative,9.953893969345016e-09,1.0059864794028019e-07,0.0001394667765409539,778,True
IllConditioned_Easy,SGD_Momentum,456,0.1,multiplicative,9.948443015440128e-09,1.0500665224550304e-07,0.00013946661976215748,760,True
IllConditioned_Easy,SGD_Momentum,789,0.1,multiplicative,9.967843457663116e-09,8.735871437515447e-08,0.00013962253442475215,830,True
IllConditioned_Easy,SGD_Momentum,1011,0.1,multiplicative,9.99707445239072e-09,-1.7454217565399496e-07,0.0001398577254839618,720,True
IllConditioned_Easy,SGD_Momentum,1213,0.1,multiplicative,9.958260808476981e-09,1.3329476086420945e-08,0.00013959978924323112,797,True
IllConditioned_Easy,SGD_Momentum,1415,0.1,multiplicative,9.838177622998929e-09,1.7535257961539328e-08,0.00013872666875010985,774,True
IllConditioned_Easy,SGD_Momentum,1617,0.1,multiplicative,9.820817893271838e-09,-7.088616203712043e-08,0.00013864884847391423,834,True
IllConditioned_Easy,SGD_Momentum,1819,0.1,multiplicative,9.966639597885425e-09,4.4690579100303724e-08,0.00013968197684953971,745,True
IllConditioned_Easy,SGD_Momentum,2021,0.1,multiplicative,9.90271016694479e-09,8.991881913530775e-09,0.0001391401526667718,756,True
IllConditioned_Easy,Adam,42,0.1,multiplicative,8.754937323477e-09,-2.984207700544348e-07,0.00011991609410603134,267,True
IllConditioned_Easy,Adam,123,0.1,multiplicative,9.089860272882665e-09,2.688795951765847e-07,0.00012673480470296077,323,True
IllConditioned_Easy,Adam,456,0.1,multiplicative,9.308856393202977e-09,-3.5083614227744015e-07,0.00012610547961765587,266,True
IllConditioned_Easy,Adam,789,0.1,multiplicative,8.497947364230668e-09,-4.384491390344278e-07,0.00011941239141177626,286,True
IllConditioned_Easy,Adam,1011,0.1,multiplicative,9.428544010175433e-09,4.907450963680321e-07,0.00012895024050622747,281,True
IllConditioned_Easy,Adam,1213,0.1,multiplicative,9.276659318012051e-09,6.895987496554573e-07,0.0001257558424535782,284,True
IllConditioned_Easy,Adam,1415,0.1,multiplicative,9.749370686235127e-09,-1.074380466221477e-06,0.00012996211964561122,257,True
IllConditioned_Easy,Adam,1617,0.1,multiplicative,9.828516237515312e-09,2.1269127685584353e-06,0.00011740006721519327,252,True
IllConditioned_Easy,Adam,1819,0.1,multiplicative,9.971823587789818e-09,7.43668147450786e-09,0.0001351072231009623,365,True
IllConditioned_Easy,Adam,2021,0.1,multiplicative,9.902382326711895e-09,5.952548433185335e-07,0.00013001389093358245,234,True
