epoch,optimizer,noise_rate,seed,train_loss,train_acc,val_loss,val_acc,best_val_acc,best_val_epoch,test_acc,test_loss,peak_val_acc,peak_val_epoch,final_test_loss,final_test_acc
16,AdamW,0.0,42,0.2071507298999362,92.72222222222224,0.3456717341423034,89.84,89.84,16,89.84,0.3456717341423034,,,,
17,AdamW,0.0,42,0.1969844965457916,93.15777777777778,0.3326797348022461,89.32,89.84,16,89.32,0.3326797348022461,,,,
18,AdamW,0.0,42,0.1814887069914076,93.55555555555556,0.3346893920898438,90.02,90.02,18,90.02,0.3346893920898438,,,,
19,AdamW,0.0,42,0.1679616761816872,94.14222222222222,0.3323810070037842,90.16,90.16,19,90.16,0.3323810070037842,,,,
20,AdamW,0.0,42,0.1626674446317884,94.23777777777778,0.3319812662124634,90.14,90.16,19,90.14,0.3319812662124634,,,,
21,AdamW,0.0,42,0.1517051801257663,94.70444444444443,0.3378404094696045,90.4,90.4,21,90.4,0.3378404094696045,,,,
22,AdamW,0.0,42,0.1415395646068785,95.04444444444444,0.3475880863189697,90.3,90.4,21,90.3,0.3475880863189697,,,,
23,AdamW,0.0,42,0.1341900646527608,95.25777777777778,0.3491612377166748,89.98,90.4,21,89.98,0.3491612377166748,,,,
24,AdamW,0.0,42,0.126308837585979,95.6288888888889,0.3566494647026062,90.08,90.4,21,90.08,0.3566494647026062,,,,
25,AdamW,0.0,42,0.1184353635311126,95.80222222222224,0.3269143314838409,90.72,90.72,25,90.72,0.3269143314838409,,,,
26,AdamW,0.0,42,0.1084500245279736,96.20444444444443,0.4103201675415039,89.72,90.72,25,89.72,0.4103201675415039,,,,
27,AdamW,0.0,42,0.1050960495617654,96.27333333333333,0.3677893275737762,90.16,90.72,25,90.16,0.3677893275737762,,,,
28,AdamW,0.0,42,0.0988201269613372,96.45777777777778,0.4135088424682617,88.56,90.72,25,88.56,0.4135088424682617,,,,
29,AdamW,0.0,42,0.0960181450366974,96.6,0.426748498916626,89.38,90.72,25,89.38,0.426748498916626,,,,
30,AdamW,0.0,42,0.0939209510008494,96.69333333333331,0.3746571939229965,89.68,90.72,25,89.68,0.3746571939229965,,,,
31,AdamW,0.0,42,0.0885804904003938,96.82,0.3508674289703369,90.76,90.76,31,90.76,0.3508674289703369,,,,
32,AdamW,0.0,42,0.0794100205130047,97.20222222222222,0.3809546318054199,90.64,90.76,31,90.64,0.3809546318054199,,,,
33,AdamW,0.0,42,0.0786210473246044,97.20444444444443,0.4365110042572021,90.44,90.76,31,90.44,0.4365110042572021,,,,
34,AdamW,0.0,42,0.0763933840301301,97.25777777777778,0.3744296367645263,90.96,90.96,34,90.96,0.3744296367645263,,,,
35,AdamW,0.0,42,0.0716796767446729,97.52444444444444,0.3418797134399414,91.36,91.36,35,91.36,0.3418797134399414,,,,
36,AdamW,0.0,42,0.0697625279188156,97.45777777777778,0.3867626237869263,90.68,91.36,35,90.68,0.3867626237869263,,,,
37,AdamW,0.0,42,0.0680767614940802,97.59333333333332,0.3733260711669922,91.26,91.36,35,91.26,0.3733260711669922,,,,
38,AdamW,0.0,42,0.0635420045705305,97.77555555555556,0.3919176507949829,91.04,91.36,35,91.04,0.3919176507949829,,,,
39,AdamW,0.0,42,0.0630728367673026,97.74,0.4150252838134766,90.7,91.36,35,90.7,0.4150252838134766,,,,
40,AdamW,0.0,42,0.0560278447919421,97.98222222222222,0.3961573738098145,91.24,91.36,35,91.24,0.3961573738098145,,,,
41,AdamW,0.0,42,0.0626070776277118,97.79333333333334,0.3687196084976196,91.7,91.7,41,91.7,0.3687196084976196,,,,
42,AdamW,0.0,42,0.0557979336351156,98.08,0.3700414886474609,91.48,91.7,41,91.48,0.3700414886474609,,,,
43,AdamW,0.0,42,0.0510642622364891,98.22,0.3761458612442017,92.08,92.08,43,92.08,0.3761458612442017,,,,
44,AdamW,0.0,42,0.0562109581900967,98.04222222222222,0.4300155685424804,90.92,92.08,43,90.92,0.4300155685424804,,,,
45,AdamW,0.0,42,0.051151857506401,98.19777777777776,0.4000711795806885,91.08,92.08,43,91.08,0.4000711795806885,,,,
46,AdamW,0.0,42,0.0499166336748335,98.19555555555556,0.44577194480896,91.18,92.08,43,91.18,0.44577194480896,,,,
