path,ok,rows,cols,na_cells,inf_cells,issue
experiments/ablation/Ablation_2D_Rosenbrock_Adam_NoBeta2_seed1213.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_Adam_NoBeta2_seed123.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_Adam_NoBeta2_seed1415.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_Adam_NoBeta2_seed1617.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_Adam_NoBeta2_seed1819.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_Adam_NoBeta2_seed2021.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_Adam_NoBeta2_seed42.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_Adam_NoBeta2_seed456.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_Adam_NoBeta2_seed789.csv,True,466,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_Adam_seed1011.csv,True,581,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_Adam_seed1213.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_Adam_seed123.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_Adam_seed1415.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_Adam_seed1617.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_Adam_seed1819.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_Adam_seed2021.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_Adam_seed42.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_Adam_seed456.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_Adam_seed789.csv,True,466,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SAM_SGD_seed1011.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SAM_SGD_seed1213.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SAM_SGD_seed123.csv,True,1000,5,0,0,
