path,bytes,w,h,std,range,content_ratio,status
results_proposal_full_20260223_v2/visualizations/static/sam_sensitivity/sam_all_metrics.png,306742,5952,1476,24.156429290771484,217.0,1.0,ok
results_proposal_full_20260223_v2/visualizations/static/sam_sensitivity/sam_rho_sweep.png,126198,2652,1452,25.10657501220703,217.0,1.0,ok
results_proposal_full_20260223_v2/visualizations/static/sam_sensitivity/sam_test_accuracy_by_epoch.png,328456,2952,1752,24.349323272705078,217.0,1.0,ok
results_proposal_full_20260223_v2/visualizations/static/sam_sensitivity/sam_train_loss_by_epoch.png,174003,2952,1752,20.76993179321289,217.0,1.0,ok
results_proposal_full_20260223_v2/experiments/2d_visualization/adam_beta_trajectories_rosenbrock.png,405640,1484,1185,37.51677703857422,255.0,0.9920274773391563,ok
results_proposal_full_20260223_v2/experiments/2d_visualization/momentum_beta_trajectories_rosenbrock.png,429505,1484,1185,37.18782424926758,255.0,0.9923146473779385,ok
results_proposal_full_20260223_v2/experiments/2d_visualization/optimizer_comparison_rosenbrock.png,408891,1484,1185,35.83595275878906,255.0,0.9943185824604501,ok
results_proposal_full_20260223_v2/experiments/adam_adamw_comparison/adam_l2_vs_adamw_comparison.png,109746,2100,750,25.865999221801758,217.0,1.0,ok
results_proposal_full_20260223_v2/experiments/convergence_validation/convergence_rate_comparison.png,207610,2100,750,24.760746002197266,217.0,1.0,ok
results_proposal_full_20260223_v2/experiments/hyperparameter_heatmaps/adam_beta_heatmap.png,243427,4420,2072,79.88516998291016,255.0,0.9891202894879365,ok
results_proposal_full_20260223_v2/experiments/hyperparameter_heatmaps/momentum_beta_heatmap.png,254614,4427,2072,79.7636947631836,255.0,0.9890673935738313,ok
results_proposal_full_20260223_v2/experiments/hyperparam_sensitivity/adam_beta_sweep_2d_rosenbrock.png,145900,2100,1800,86.9598388671875,225.0,1.0,ok
results_proposal_full_20260223_v2/experiments/hyperparam_sensitivity/momentum_beta_sweep_ackley.png,184371,2250,1500,23.841447830200195,217.0,1.0,ok
results_proposal_full_20260223_v2/experiments/hyperparam_sensitivity/momentum_beta_sweep_rosenbrock.png,188916,2250,1500,23.959022521972656,217.0,1.0,ok
results_proposal_full_20260223_v2/experiments/saddle_escape/saddle_point_escape_comparison.png,574037,4166,3565,39.33841323852539,255.0,0.9884966727916298,ok
results_proposal_full_20260223_v2/experiments/advanced_ablation/visualizations/accuracy_comparison.png,210493,3564,1769,50.409366607666016,255.0,0.9845934376742743,ok
results_proposal_full_20260223_v2/experiments/advanced_ablation/visualizations/accuracy_distribution.png,197188,4164,1769,43.650577545166016,255.0,0.9885577419633359,ok
results_proposal_full_20260223_v2/experiments/advanced_ablation/visualizations/feature_heatmap.png,204292,2963,2360,61.638221740722656,255.0,0.9872263567044395,ok
results_proposal_full_20260223_v2/experiments/advanced_ablation/visualizations/summary_table.png,230532,3315,2036,42.765987396240234,255.0,0.9858778784295946,ok
results_proposal_full_20260223_v2/experiments/advanced_ablation/visualizations/training_time.png,200715,3564,1769,39.20814895629883,255.0,0.986312785540221,ok
results_proposal_full_20260223_v2/analysis/png_contact_sheets/sheet_01.png,432188,1600,1310,35.40650939941406,255.0,0.9999961832061068,ok
results_proposal_full_20260223_v2/analysis/png_contact_sheets/sheet_02.png,401861,1600,1310,36.04622268676758,255.0,0.9999961832061068,ok
results_proposal_full_20260223_v2/analysis/png_contact_sheets/sheet_03.png,504601,1600,1310,65.14275360107422,255.0,0.9999961832061068,ok
results_proposal_full_20260223_v2/analysis/png_contact_sheets/sheet_04.png,404551,1600,1310,33.91674041748047,234.0,1.0,ok
results_proposal_full_20260223_v2/analysis/png_contact_sheets/sheet_05.png,80082,1600,262,22.95821189880371,234.0,1.0,ok
results_proposal_full_20260223/visualizations/2d_training_results.png,348084,4170,2955,19.764080047607422,217.0,1.0,ok
results_proposal_full_20260223/visualizations/mnist_training_results.png,624002,4170,2955,33.639678955078125,255.0,0.9999761409146795,ok
results_proposal_full_20260223/visualizations/other_training_results.png,314592,4170,2955,27.649311065673828,217.0,1.0,ok
results_proposal_full_20260223/visualizations/static/2d_optimization/2d_convergence_rate_by_optimizer.png,158377,3354,1452,30.520498275756836,255.0,0.9983248487476817,ok
results_proposal_full_20260223/visualizations/static/2d_optimization/2d_convergence_rate_strict_by_optimizer.png,146101,3224,1752,55.25322723388672,255.0,0.9903959459306344,ok
