experiment,file,rows,seed,max_epoch,n_epoch_points,max_iter,n_iter_points
advanced_ablation,advanced_ablation/AdvAblation_AMP_only_seed789.csv,10,789.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_Baseline_seed1011.csv,10,1011.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_Baseline_seed1213.csv,10,1213.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_Baseline_seed123.csv,10,123.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_Baseline_seed1415.csv,10,1415.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_Baseline_seed1617.csv,10,1617.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_Baseline_seed1819.csv,10,1819.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_Baseline_seed2021.csv,10,2021.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_Baseline_seed42.csv,10,42.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_Baseline_seed456.csv,10,456.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_Baseline_seed789.csv,10,789.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_EMA_only_seed1011.csv,10,1011.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_EMA_only_seed1213.csv,10,1213.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_EMA_only_seed123.csv,10,123.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_EMA_only_seed1415.csv,10,1415.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_EMA_only_seed1617.csv,10,1617.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_EMA_only_seed1819.csv,10,1819.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_EMA_only_seed2021.csv,10,2021.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_EMA_only_seed42.csv,10,42.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_EMA_only_seed456.csv,10,456.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_EMA_only_seed789.csv,10,789.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_LabelSmoothing_EMA_seed1011.csv,10,1011.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_LabelSmoothing_EMA_seed1213.csv,10,1213.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_LabelSmoothing_EMA_seed123.csv,10,123.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_LabelSmoothing_EMA_seed1415.csv,10,1415.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_LabelSmoothing_EMA_seed1617.csv,10,1617.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_LabelSmoothing_EMA_seed1819.csv,10,1819.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_LabelSmoothing_EMA_seed2021.csv,10,2021.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_LabelSmoothing_EMA_seed42.csv,10,42.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_LabelSmoothing_EMA_seed456.csv,10,456.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_LabelSmoothing_EMA_seed789.csv,10,789.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_LabelSmoothing_only_seed1011.csv,10,1011.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_LabelSmoothing_only_seed1213.csv,10,1213.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_LabelSmoothing_only_seed123.csv,10,123.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_LabelSmoothing_only_seed1415.csv,10,1415.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_LabelSmoothing_only_seed1617.csv,10,1617.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_LabelSmoothing_only_seed1819.csv,10,1819.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_LabelSmoothing_only_seed2021.csv,10,2021.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_LabelSmoothing_only_seed42.csv,10,42.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_LabelSmoothing_only_seed456.csv,10,456.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_LabelSmoothing_only_seed789.csv,10,789.0,10.0,10.0,,
batch_ablation,batch_ablation/MNIST_batch_ablation_seeds42_123_456_789_1011_1213_1415_1617_1819_2021.csv,60,,,,,
beta_sensitivity_training,beta_sensitivity_training/adam_beta1_beta2_grid_mnist.csv,45,,,,,
beta_sensitivity_training,beta_sensitivity_training/adam_beta2_sensitivity_mnist.csv,15,,,,,
beta_sensitivity_training,beta_sensitivity_training/adam_beta_sensitivity_mnist.csv,15,,,,,
beta_sensitivity_training,beta_sensitivity_training/momentum_beta_sensitivity_mnist.csv,20,,,,,
convergence_validation,convergence_validation/Adam_trajectory.csv,1067,,,,1067.0,1067.0
convergence_validation,convergence_validation/convergence_rate_summary.csv,5,,,,2000.0,5.0
convergence_validation,convergence_validation/RMSProp_trajectory.csv,2000,,,,2000.0,2000.0
convergence_validation,convergence_validation/SGD_Momentum_0.5_trajectory.csv,929,,,,929.0,929.0
convergence_validation,convergence_validation/SGD_Momentum_0.9_trajectory.csv,393,,,,393.0,393.0
convergence_validation,convergence_validation/SGD_trajectory.csv,1903,,,,1903.0,1903.0
cross_optimizer_dynamics,cross_optimizer_dynamics/cross_optimizer_dynamics_MNIST.csv,9,,,,,
dynamics_overhead,dynamics_overhead/dynamics_overhead_ablation_MNIST.csv,20,,,,,
highdim,highdim/HighDim_Dim100_Adam_seed1011.csv,124,1011.0,,,123.0,124.0
highdim,highdim/HighDim_Dim100_Adam_seed1213.csv,130,1213.0,,,129.0,130.0
highdim,highdim/HighDim_Dim100_Adam_seed123.csv,128,123.0,,,127.0,128.0
highdim,highdim/HighDim_Dim100_Adam_seed1415.csv,129,1415.0,,,128.0,129.0
highdim,highdim/HighDim_Dim100_Adam_seed1617.csv,128,1617.0,,,127.0,128.0
highdim,highdim/HighDim_Dim100_Adam_seed1819.csv,128,1819.0,,,127.0,128.0
highdim,highdim/HighDim_Dim100_Adam_seed2021.csv,129,2021.0,,,128.0,129.0
highdim,highdim/HighDim_Dim100_Adam_seed42.csv,125,42.0,,,124.0,125.0
highdim,highdim/HighDim_Dim100_Adam_seed456.csv,129,456.0,,,128.0,129.0
highdim,highdim/HighDim_Dim100_Adam_seed789.csv,125,789.0,,,124.0,125.0
highdim,highdim/HighDim_Dim100_SAM_SGD_seed1011.csv,151,1011.0,,,150.0,151.0
highdim,highdim/HighDim_Dim100_SAM_SGD_seed1213.csv,156,1213.0,,,155.0,156.0
highdim,highdim/HighDim_Dim100_SAM_SGD_seed123.csv,159,123.0,,,158.0,159.0
highdim,highdim/HighDim_Dim100_SAM_SGD_seed1415.csv,157,1415.0,,,156.0,157.0
highdim,highdim/HighDim_Dim100_SAM_SGD_seed1617.csv,154,1617.0,,,153.0,154.0
highdim,highdim/HighDim_Dim100_SAM_SGD_seed1819.csv,158,1819.0,,,157.0,158.0
highdim,highdim/HighDim_Dim100_SAM_SGD_seed2021.csv,157,2021.0,,,156.0,157.0
highdim,highdim/HighDim_Dim100_SAM_SGD_seed42.csv,153,42.0,,,152.0,153.0
highdim,highdim/HighDim_Dim100_SAM_SGD_seed456.csv,153,456.0,,,152.0,153.0
highdim,highdim/HighDim_Dim100_SAM_SGD_seed789.csv,152,789.0,,,151.0,152.0
highdim,highdim/HighDim_Dim100_SGD_seed1011.csv,350,1011.0,,,349.0,350.0
highdim,highdim/HighDim_Dim100_SGD_seed1213.csv,354,1213.0,,,353.0,354.0
highdim,highdim/HighDim_Dim100_SGD_seed123.csv,358,123.0,,,357.0,358.0
highdim,highdim/HighDim_Dim100_SGD_seed1415.csv,355,1415.0,,,354.0,355.0
highdim,highdim/HighDim_Dim100_SGD_seed1617.csv,351,1617.0,,,350.0,351.0
highdim,highdim/HighDim_Dim100_SGD_seed1819.csv,357,1819.0,,,356.0,357.0
highdim,highdim/HighDim_Dim100_SGD_seed2021.csv,353,2021.0,,,352.0,353.0
highdim,highdim/HighDim_Dim100_SGD_seed42.csv,355,42.0,,,354.0,355.0
highdim,highdim/HighDim_Dim100_SGD_seed456.csv,350,456.0,,,349.0,350.0
highdim,highdim/HighDim_Dim100_SGD_seed789.csv,349,789.0,,,348.0,349.0
highdim,highdim/HighDim_Dim200_Adam_seed1011.csv,131,1011.0,,,130.0,131.0
highdim,highdim/HighDim_Dim200_Adam_seed1213.csv,137,1213.0,,,136.0,137.0
highdim,highdim/HighDim_Dim200_Adam_seed123.csv,134,123.0,,,133.0,134.0
highdim,highdim/HighDim_Dim200_Adam_seed1415.csv,137,1415.0,,,136.0,137.0
highdim,highdim/HighDim_Dim200_Adam_seed1617.csv,132,1617.0,,,131.0,132.0
highdim,highdim/HighDim_Dim200_Adam_seed1819.csv,133,1819.0,,,132.0,133.0
highdim,highdim/HighDim_Dim200_Adam_seed2021.csv,134,2021.0,,,133.0,134.0
highdim,highdim/HighDim_Dim200_Adam_seed42.csv,131,42.0,,,130.0,131.0
highdim,highdim/HighDim_Dim200_Adam_seed456.csv,136,456.0,,,135.0,136.0
highdim,highdim/HighDim_Dim200_Adam_seed789.csv,132,789.0,,,131.0,132.0
highdim,highdim/HighDim_Dim200_SAM_SGD_seed1011.csv,168,1011.0,,,167.0,168.0
highdim,highdim/HighDim_Dim200_SAM_SGD_seed1213.csv,177,1213.0,,,176.0,177.0
highdim,highdim/HighDim_Dim200_SAM_SGD_seed123.csv,173,123.0,,,172.0,173.0
highdim,highdim/HighDim_Dim200_SAM_SGD_seed1415.csv,175,1415.0,,,174.0,175.0
highdim,highdim/HighDim_Dim200_SAM_SGD_seed1617.csv,170,1617.0,,,169.0,170.0
highdim,highdim/HighDim_Dim200_SAM_SGD_seed1819.csv,172,1819.0,,,171.0,172.0
highdim,highdim/HighDim_Dim200_SAM_SGD_seed2021.csv,170,2021.0,,,169.0,170.0
highdim,highdim/HighDim_Dim200_SAM_SGD_seed42.csv,169,42.0,,,168.0,169.0
highdim,highdim/HighDim_Dim200_SAM_SGD_seed456.csv,173,456.0,,,172.0,173.0
highdim,highdim/HighDim_Dim200_SAM_SGD_seed789.csv,168,789.0,,,167.0,168.0
highdim,highdim/HighDim_Dim200_SGD_seed1011.csv,368,1011.0,,,367.0,368.0
highdim,highdim/HighDim_Dim200_SGD_seed1213.csv,376,1213.0,,,375.0,376.0
highdim,highdim/HighDim_Dim200_SGD_seed123.csv,373,123.0,,,372.0,373.0
highdim,highdim/HighDim_Dim200_SGD_seed1415.csv,376,1415.0,,,375.0,376.0
highdim,highdim/HighDim_Dim200_SGD_seed1617.csv,369,1617.0,,,368.0,369.0
highdim,highdim/HighDim_Dim200_SGD_seed1819.csv,370,1819.0,,,369.0,370.0
highdim,highdim/HighDim_Dim200_SGD_seed2021.csv,367,2021.0,,,366.0,367.0
highdim,highdim/HighDim_Dim200_SGD_seed42.csv,370,42.0,,,369.0,370.0
