path,ok,w,h,std,nonwhite_ratio,flag
visualizations/static/2d_optimization/2d_final_loss_by_optimizer.png,True,2952,1752,51.38673400878906,0.28608864356337627,
visualizations/static/2d_optimization/2d_rastrigin_grad_norm_convergence.png,True,2952,1752,29.91165542602539,0.4371469385355954,
visualizations/static/2d_optimization/2d_rastrigin_loss_convergence.png,True,2952,1752,31.608261108398438,0.583267593520684,
visualizations/static/2d_optimization/2d_rastrigin_trajectory_overlay.png,True,2352,2052,20.388765335083008,0.03290882629855061,
visualizations/static/2d_optimization/2d_rosenbrock_grad_norm_convergence.png,True,2952,1752,30.08490562438965,0.5031075596144089,
visualizations/static/2d_optimization/2d_rosenbrock_loss_convergence.png,True,2952,1752,27.74370574951172,0.42766242374181734,
visualizations/static/2d_optimization/2d_rosenbrock_trajectory_overlay.png,True,2352,2052,22.728126525878906,0.05519233765631009,
visualizations/static/ablation/ablation_convergence_profile.png,True,2952,1752,24.364463806152344,0.04986693488510228,
visualizations/static/ablation/ablation_convergence_rate.png,True,2652,1452,37.45378875732422,0.1603966443538636,
visualizations/static/ablation/ablation_convergence_rate_strict.png,True,2652,1452,31.656551361083984,0.09035802284465386,
visualizations/static/ablation/ablation_final_loss_by_optimizer.png,True,2652,1452,40.32628631591797,0.24614070569952923,
visualizations/static/ablation/ablation_iterations_by_optimizer.png,True,2652,1452,59.0161018371582,0.4613486261213534,
visualizations/static/ablation/ablation_loss_convergence.png,True,2952,1752,32.5423698425293,0.5836067336129982,
visualizations/static/robustness/robustness_convergence_rate.png,True,2352,1452,43.320655822753906,0.18826718015029703,
visualizations/static/robustness/robustness_final_loss_by_optimizer.png,True,2352,1452,41.576385498046875,0.3880080958003036,
visualizations/static/robustness/robustness_grad_norm_convergence.png,True,2952,1752,34.9581298828125,0.1099575707515066,
visualizations/static/robustness/robustness_iterations_to_convergence.png,True,2352,1452,36.22254943847656,0.0982953959820843,
visualizations/static/robustness/robustness_loss_convergence.png,True,2952,1752,47.816749572753906,0.5375799705485639,
visualizations/static/robustness/robustness_start_point_sensitivity.png,True,2952,1752,27.78404998779297,0.07093480466768139,
visualizations/static/sam_sensitivity/sam_all_metrics.png,True,5952,1476,24.156429290771484,0.061314476972054666,
visualizations/static/sam_sensitivity/sam_rho_sweep.png,True,2652,1452,25.10657501220703,0.05547323294649498,
visualizations/static/sam_sensitivity/sam_test_accuracy_by_epoch.png,True,2952,1752,24.349323272705078,0.08675547728650802,
visualizations/static/sam_sensitivity/sam_train_loss_by_epoch.png,True,2952,1752,20.76993179321289,0.04440530992067911,
