path,w,h,bytes,std,range,content_ratio,status,optimizer
results_proposal_full_20260223_v2/visualizations/static/robustness/robustness_convergence_rate.png,2352,1452,124875,43.32065582275391,227.0,1.0,ok,Unknown
results_proposal_full_20260223_v2/visualizations/static/robustness/robustness_final_loss_by_optimizer.png,2352,1452,114083,41.57638549804688,217.0,1.0,ok,Unknown
results_proposal_full_20260223_v2/visualizations/static/robustness/robustness_grad_norm_convergence.png,2952,1752,244651,34.9581298828125,217.0,1.0,ok,Unknown
results_proposal_full_20260223_v2/visualizations/static/robustness/robustness_iterations_to_convergence.png,2352,1452,134340,36.22254943847656,255.0,0.9967532467532468,ok,Unknown
results_proposal_full_20260223_v2/visualizations/static/robustness/robustness_loss_convergence.png,2952,1752,315964,47.81674957275391,217.0,1.0,ok,Unknown
results_proposal_full_20260223_v2/visualizations/static/robustness/robustness_start_point_sensitivity.png,2952,1752,355341,27.78404998779297,217.0,1.0,ok,Unknown
results_proposal_full_20260223_v2/visualizations/static/sam_sensitivity/sam_all_metrics.png,5952,1476,306742,24.156429290771484,217.0,1.0,ok,Unknown
results_proposal_full_20260223_v2/visualizations/static/sam_sensitivity/sam_rho_sweep.png,2652,1452,126198,25.10657501220703,217.0,1.0,ok,Unknown
results_proposal_full_20260223_v2/visualizations/static/sam_sensitivity/sam_test_accuracy_by_epoch.png,2952,1752,328456,24.34932327270508,217.0,1.0,ok,Unknown
results_proposal_full_20260223_v2/visualizations/static/sam_sensitivity/sam_train_loss_by_epoch.png,2952,1752,174003,20.76993179321289,217.0,1.0,ok,Unknown
results_proposal_full_20260223_v2/experiments/2d_visualization/adam_beta_trajectories_rosenbrock.png,1484,1185,405640,37.51677703857422,255.0,0.9920274773391564,ok,Unknown
results_proposal_full_20260223_v2/experiments/2d_visualization/momentum_beta_trajectories_rosenbrock.png,1484,1185,429505,37.18782424926758,255.0,0.9923146473779384,ok,Unknown
results_proposal_full_20260223_v2/experiments/2d_visualization/optimizer_comparison_rosenbrock.png,1484,1185,408891,35.83595275878906,255.0,0.99431858246045,ok,Unknown
results_proposal_full_20260223_v2/experiments/adam_adamw_comparison/adam_l2_vs_adamw_comparison.png,2100,750,109746,25.86599922180176,217.0,1.0,ok,Unknown
results_proposal_full_20260223_v2/experiments/convergence_validation/convergence_rate_comparison.png,2100,750,207610,24.760746002197266,217.0,1.0,ok,Unknown
results_proposal_full_20260223_v2/experiments/hyperparameter_heatmaps/adam_beta_heatmap.png,3365,2364,172234,105.09597778320312,255.0,0.9921975999577616,ok,Unknown
results_proposal_full_20260223_v2/experiments/hyperparameter_heatmaps/momentum_beta_heatmap.png,3373,2364,177113,105.01569366455078,255.0,0.9923892983145242,ok,Unknown
results_proposal_full_20260223_v2/experiments/hyperparam_sensitivity/adam_beta_sweep_2d_rosenbrock.png,2100,1800,145900,86.9598388671875,225.0,1.0,ok,Unknown
results_proposal_full_20260223_v2/experiments/hyperparam_sensitivity/momentum_beta_sweep_ackley.png,2250,1500,184371,23.841447830200195,217.0,1.0,ok,Unknown
results_proposal_full_20260223_v2/experiments/hyperparam_sensitivity/momentum_beta_sweep_rosenbrock.png,2250,1500,188916,23.959022521972656,217.0,1.0,ok,Unknown
results_proposal_full_20260223_v2/experiments/saddle_escape/saddle_point_escape_comparison.png,4166,3565,574037,39.33841323852539,255.0,0.9884966727916298,ok,Unknown
results_proposal_full_20260223_v2/experiments/advanced_ablation/visualizations/accuracy_comparison.png,3564,1769,210493,50.409366607666016,255.0,0.9845934376742744,ok,Unknown
results_proposal_full_20260223_v2/experiments/advanced_ablation/visualizations/accuracy_distribution.png,4164,1769,197188,43.650577545166016,255.0,0.988557741963336,ok,Unknown
results_proposal_full_20260223_v2/experiments/advanced_ablation/visualizations/feature_heatmap.png,2963,2360,204292,61.638221740722656,255.0,0.9872263567044396,ok,Unknown
results_proposal_full_20260223_v2/experiments/advanced_ablation/visualizations/summary_table.png,3315,2036,230532,42.76598739624024,255.0,0.9858778784295946,ok,Unknown
results_proposal_full_20260223_v2/experiments/advanced_ablation/visualizations/training_time.png,3564,1769,200715,39.20814895629883,255.0,0.986312785540221,ok,Unknown
results_proposal_full_20260223_v2/analysis/png_contact_sheets/sheet_01.png,1600,1310,432188,35.40650939941406,255.0,0.9999961832061068,ok,Unknown
results_proposal_full_20260223_v2/analysis/png_contact_sheets/sheet_02.png,1600,1310,401861,36.04622268676758,255.0,0.9999961832061068,ok,Unknown
results_proposal_full_20260223_v2/analysis/png_contact_sheets/sheet_03.png,1600,1310,504601,65.14275360107422,255.0,0.9999961832061068,ok,Unknown
results_proposal_full_20260223_v2/analysis/png_contact_sheets/sheet_04.png,1600,1310,404551,33.91674041748047,234.0,1.0,ok,Unknown
results_proposal_full_20260223_v2/analysis/png_contact_sheets/sheet_05.png,1600,262,80082,22.95821189880371,234.0,1.0,ok,Unknown
